uptime,temp_cpu,crit_temp_cpu,temp_gpu,cpu_usage,gpu_usage,ram_usage
1613639,45.44444444444444,100.0,-1,6.1,-1,52.4
1614657,41.55555555555556,100.0,-1,10.3,-1,52.6
1615676,41.333333333333336,100.0,-1,18.5,-1,52.6
1616695,47.77777777777778,100.0,-1,28.2,-1,53.4
1617710,42.11111111111112,100.0,-1,16.2,-1,53.8
1618726,41.22222222222222,100.0,-1,17.2,-1,53.3
1619744,42.22222222222222,100.0,-1,14.0,-1,53.0
1620763,41.55555555555556,100.0,-1,3.9,-1,52.8
1621781,41.11111111111112,100.0,-1,3.5,-1,52.6
1622800,40.44444444444444,100.0,-1,7.6,-1,52.7
1623819,40.55555555555556,100.0,-1,8.7,-1,52.8
1624838,41.11111111111112,100.0,-1,12.3,-1,52.9
1625853,41.11111111111112,100.0,-1,14.1,-1,52.9
1626867,41.0,100.0,-1,12.2,-1,52.8
1627888,41.0,100.0,-1,35.0,-1,52.7
1628907,41.55555555555556,100.0,-1,18.6,-1,52.4
1629925,40.77777777777778,100.0,-1,24.0,-1,52.4
1630938,51.0,100.0,-1,10.6,-1,52.3
1631950,40.55555555555556,100.0,-1,23.9,-1,52.2
1632967,40.66666666666666,100.0,-1,30.7,-1,52.3
1633984,47.55555555555556,100.0,-1,11.3,-1,52.3
1634998,41.333333333333336,100.0,-1,17.5,-1,52.2
1636010,43.333333333333336,100.0,-1,33.5,-1,52.3
1637026,43.77777777777778,100.0,-1,14.0,-1,52.3
1638043,42.333333333333336,100.0,-1,26.4,-1,52.2
1639065,41.888888888888886,100.0,-1,23.2,-1,52.3
1640081,41.0,100.0,-1,5.6,-1,52.2
1641098,41.333333333333336,100.0,-1,4.9,-1,52.2
1642117,40.66666666666666,100.0,-1,5.7,-1,52.2
1643137,40.66666666666666,100.0,-1,5.0,-1,52.3
1644154,40.77777777777778,100.0,-1,19.1,-1,52.4
1645167,44.11111111111112,100.0,-1,6.9,-1,52.4
1646180,40.44444444444444,100.0,-1,8.4,-1,52.4
1647197,40.55555555555556,100.0,-1,19.6,-1,52.5
1648213,40.11111111111112,100.0,-1,13.0,-1,52.4
1649230,40.66666666666666,100.0,-1,12.6,-1,52.4
1650244,40.22222222222222,100.0,-1,4.7,-1,52.4
1651261,40.11111111111112,100.0,-1,5.1,-1,52.4
1652278,40.333333333333336,100.0,-1,10.1,-1,52.4
1653292,41.22222222222222,100.0,-1,11.6,-1,52.4
1654301,45.333333333333336,100.0,-1,9.2,-1,52.3
1655315,40.11111111111112,100.0,-1,8.7,-1,52.3
1656328,40.22222222222222,100.0,-1,11.5,-1,52.4
1657343,41.0,100.0,-1,12.9,-1,52.4
1658355,41.888888888888886,100.0,-1,10.2,-1,52.3
1659367,39.77777777777778,100.0,-1,10.8,-1,52.4
1660381,40.333333333333336,100.0,-1,19.1,-1,52.4
1661397,39.77777777777778,100.0,-1,11.8,-1,52.5
1662420,39.333333333333336,100.0,-1,10.8,-1,52.5
1663433,41.44444444444444,100.0,-1,13.4,-1,52.5
1664445,39.77777777777778,100.0,-1,10.9,-1,52.5
1665465,40.66666666666666,100.0,-1,15.8,-1,52.5
1666484,40.44444444444444,100.0,-1,23.4,-1,53.1
1667501,49.333333333333336,100.0,-1,18.7,-1,53.4
1668513,40.888888888888886,100.0,-1,21.3,-1,53.7
1669525,46.22222222222222,100.0,-1,15.2,-1,54.1
1670540,40.11111111111112,100.0,-1,13.0,-1,54.0
1671558,41.0,100.0,-1,16.1,-1,54.3
1672575,40.66666666666666,100.0,-1,14.5,-1,54.3
1673596,39.55555555555556,100.0,-1,13.4,-1,54.3
1674618,41.22222222222222,100.0,-1,12.6,-1,54.3
1675633,45.888888888888886,100.0,-1,23.5,-1,55.1
1676643,42.66666666666666,100.0,-1,19.9,-1,55.1
1677661,41.888888888888886,100.0,-1,19.9,-1,55.2
1678679,41.0,100.0,-1,13.4,-1,55.1
1679697,41.0,100.0,-1,11.9,-1,55.0
1680711,40.77777777777778,100.0,-1,17.6,-1,54.6
1681725,40.333333333333336,100.0,-1,7.2,-1,54.6
1682739,40.0,100.0,-1,7.8,-1,54.5
1683756,39.77777777777778,100.0,-1,7.1,-1,54.5
1684773,39.66666666666666,100.0,-1,7.1,-1,54.4
1685790,39.66666666666666,100.0,-1,9.7,-1,54.2
1686810,39.55555555555556,100.0,-1,6.1,-1,54.2
1687826,39.333333333333336,100.0,-1,5.7,-1,54.1
1688842,38.66666666666666,100.0,-1,5.5,-1,54.1
1689860,39.22222222222222,100.0,-1,7.9,-1,54.1
